project_id,building_id,project_type,start_date,end_date,planned_end_date,status,estimated_cost_eur,actual_cost_eur,cost_variance_percent,subsidy_amount_eur,funding_source,contractor_name,estimated_energy_savings_percent,actual_energy_savings_percent,annual_energy_savings_kwh,project_manager,procurement_method,priority_level,works_disruption_level
33,388,Rénovation de toiture,2017-11-23,2018-03-31,2018-02-04,Completed,529630.16,503249.48,-4.98,66329.51,Union européenne,Bouygues Bâtiment,12.02,9.92,10880.46,Jean Dupont,Appel d'offres ouvert,Moyenne,Faible
34,407,Rénovation de toiture,2024-03-16,2024-09-09,2024-09-09,Completed,392681.32,408006.7,3.9,214132.04,Fonds vert,Engie Solutions,14.52,13.89,28811.06,Sophie Bernard,Marché négocié,Basse,Faible
35,405,Isolation thermique,2025-09-13,,2026-04-01,In Progress,902368.47,645199.61,-28.5,351436.08,Union européenne,Eiffage Énergie,26.46,,,Karim Diallo,MAPA,Haute,Faible
36,358,Rénovation de toiture,2021-06-10,2022-01-10,2022-01-26,Completed,1001645.38,1127026.69,12.52,365169.96,Région,SPIE Building Solutions,11.52,16.63,31561.01,Emma Robert,Appel d'offres ouvert,Basse,Élevé
37,178,Remplacement des menuiseries,2022-04-16,2022-06-02,2022-06-11,Completed,1106430.94,1067442.85,-3.52,586677.46,ADEME,Léon Grosse,12.1,9.19,84248.55,Emma Robert,Marché négocié,Haute,Élevé
38,132,Éclairage LED,2018-04-25,2018-09-10,2018-08-24,Completed,476476.11,451310.18,-5.28,194592.57,Autofinancement,Entreprise Durand,9.89,5.0,30019.16,Nicolas Leroy,MAPA,Haute,Faible
39,356,Ventilation double flux,2016-11-13,2017-01-16,2017-01-30,Completed,343095.02,340496.21,-0.76,55168.05,ADEME,Eiffage Énergie,15.21,17.95,60660.1,Karim Diallo,Appel d'offres ouvert,Haute,Élevé
40,60,Installation photovoltaïque,2022-07-11,2022-12-05,2022-11-26,Completed,624632.4,678628.71,8.64,24620.62,ADEME,Entreprise Durand,7.43,8.94,83918.87,Nicolas Leroy,Accord-cadre,Moyenne,Élevé
41,262,Rénovation de toiture,2018-07-08,2019-02-16,2018-12-31,Completed,888744.05,964110.79,8.48,347222.8,Fonds vert,Bouygues Bâtiment,16.05,6.03,70812.53,Jean Dupont,Appel d'offres ouvert,Haute,Élevé
42,100,Remplacement du chauffage,2018-08-09,2019-04-04,2019-03-14,Completed,951383.5,883636.99,-7.12,364324.74,ADEME,Léon Grosse,14.56,26.28,,Jean Dupont,Accord-cadre,Haute,Élevé
43,152,Remplacement du chauffage,2018-11-16,2019-04-08,2019-02-28,Completed,532813.63,611930.71,14.85,183611.57,Département,SPIE Building Solutions,13.89,26.68,65557.19,Nicolas Leroy,Accord-cadre,Moyenne,Élevé
44,424,Remplacement des menuiseries,2024-08-13,2024-12-24,2024-12-03,Completed,442100.91,443668.34,0.35,72895.59,Département,Eiffage Énergie,14.09,8.08,,Nicolas Leroy,MAPA,Moyenne,Élevé
45,310,Installation photovoltaïque,2023-08-19,2024-05-04,2024-03-30,Completed,734981.13,668009.96,-9.11,198443.45,Autofinancement,VINCI Facilities,14.12,9.13,74371.16,Nicolas Leroy,Marché négocié,Haute,Élevé
46,240,Remplacement du chauffage,2022-09-23,2023-02-24,2023-01-09,Completed,424709.66,482779.47,13.67,255334.51,Autofinancement,Groupe Martin,22.74,30.68,114421.76,Karim Diallo,Marché négocié,Haute,Élevé
47,320,Remplacement des menuiseries,2021-09-01,2022-01-27,2022-01-04,Completed,1256445.25,1174473.33,-6.52,234635.41,Fonds vert,Groupe Martin,15.12,11.83,169224.59,Karim Diallo,Marché négocié,Critique,Moyen
48,218,Isolation thermique,2020-08-07,2021-02-06,2021-02-15,Completed,419703.42,407023.44,-3.02,49931.45,Autofinancement,Eiffage Énergie,34.98,33.21,68299.25,Jean Dupont,Accord-cadre,Moyenne,Élevé
49,98,Remplacement du chauffage,2015-06-03,2016-04-06,2016-02-15,Completed,1527456.42,1667903.49,9.19,451143.04,Région,SPIE Building Solutions,23.99,27.78,119474.63,Jean Dupont,Appel d'offres ouvert,Basse,Élevé
50,319,Ventilation double flux,2023-04-17,2024-02-04,2024-01-19,Completed,2096233.23,2272129.07,8.39,690844.24,Union européenne,Entreprise Durand,16.35,24.13,353145.74,Karim Diallo,Appel d'offres ouvert,Haute,Faible
51,199,Isolation thermique,2015-02-25,2015-12-21,2015-11-01,Completed,687510.83,703571.78,2.34,302047.86,Département,Bouygues Bâtiment,20.6,30.79,75461.35,Jean Dupont,Appel d'offres ouvert,Moyenne,Moyen
52,468,Isolation thermique,2023-04-07,2023-12-16,2023-11-14,Completed,2522397.16,2655401.69,5.27,520600.11,Département,Groupe Martin,25.19,26.04,311814.76,Karim Diallo,MAPA,Haute,Faible
53,82,Remplacement des menuiseries,2015-08-11,2016-04-23,2016-03-13,Completed,543908.04,490616.09,-9.8,87778.67,Union européenne,Engie Solutions,9.58,14.93,36758.49,Emma Robert,Accord-cadre,Critique,Faible
54,238,Isolation thermique,2024-03-18,,2024-07-19,In Progress,1398777.69,806782.42,-42.32,205447.53,Autofinancement,VINCI Facilities,25.42,,,Karim Diallo,MAPA,Moyenne,Faible
55,234,Remplacement des menuiseries,2023-08-10,2023-10-19,2023-10-20,Completed,1168480.28,1239248.28,6.06,88360.39,Fonds vert,Entreprise Durand,10.34,15.35,140211.73,Karim Diallo,Marché négocié,Basse,Moyen
56,332,Éclairage LED,2015-04-17,2015-08-26,2015-08-23,Completed,148569.02,138137.36,-7.02,38982.68,Fonds vert,Bouygues Bâtiment,5.55,7.44,5114.83,Sophie Bernard,Appel d'offres ouvert,Haute,Moyen
57,1,Isolation thermique,2023-03-18,2023-11-26,2023-10-27,Completed,1701536.46,1840694.44,8.18,473648.47,Département,Bouygues Bâtiment,14.03,15.86,90840.15,Sophie Bernard,Appel d'offres ouvert,Moyenne,Faible
58,324,Isolation thermique,2020-04-03,2020-07-12,2020-07-19,Completed,964752.86,924491.37,-4.17,455228.16,Autofinancement,SPIE Building Solutions,18.89,22.08,93848.83,Nicolas Leroy,Marché négocié,Critique,Élevé
59,297,Remplacement du chauffage,2021-06-01,2021-12-07,2021-11-02,Completed,734272.3,691336.49,-5.85,343101.69,ADEME,Entreprise Durand,17.92,28.59,124081.23,Karim Diallo,Accord-cadre,Basse,Faible
60,75,Isolation thermique,2017-05-24,2017-10-17,2017-08-30,Completed,1334327.87,1392956.25,4.39,59871.1,ADEME,Eiffage Énergie,29.0,23.74,63437.79,Jean Dupont,Accord-cadre,Basse,Faible
61,214,Isolation thermique,2020-03-12,2020-05-21,2020-06-05,Completed,2243509.3,2293506.4,2.23,886570.47,Fonds vert,VINCI Facilities,17.43,19.53,203714.22,Sophie Bernard,MAPA,Moyenne,Élevé
62,382,Rénovation de toiture,2025-01-20,,2025-07-30,In Progress,805285.06,651584.82,-19.09,186762.7,Département,Eiffage Énergie,10.01,,,Alice Martin,MAPA,Moyenne,Moyen
63,184,Rénovation de toiture,2016-06-21,2017-02-04,2017-02-13,Completed,360781.62,417546.42,15.73,200404.43,ADEME,SPIE Building Solutions,11.83,14.97,6472.68,Nicolas Leroy,MAPA,Basse,Moyen
64,489,Éclairage LED,2015-05-07,2015-10-06,2015-09-25,Completed,211636.69,231688.64,9.47,22239.37,Fonds vert,Groupe Martin,3.22,6.2,22980.3,Sophie Bernard,MAPA,Critique,Élevé
65,189,Installation photovoltaïque,2020-01-13,2020-09-10,2020-09-20,Completed,237162.1,213701.09,-9.89,89579.8,Autofinancement,Eiffage Énergie,13.64,4.32,1700.96,Karim Diallo,Appel d'offres ouvert,Moyenne,Élevé
66,37,Rénovation de toiture,2015-07-05,2016-01-17,2015-11-30,Completed,2186324.06,2085862.53,-4.59,773701.29,Union européenne,Entreprise Durand,7.19,4.73,38019.59,Alice Martin,Marché négocié,Moyenne,Faible
67,267,Isolation thermique,2024-04-09,2024-06-04,2024-06-05,Completed,1092797.41,1134084.09,3.78,315173.88,Département,Groupe Martin,32.79,33.95,346743.84,Alice Martin,Appel d'offres ouvert,Haute,Élevé
68,260,Éclairage LED,2020-04-15,2020-06-26,2020-05-30,Completed,271484.74,292187.46,7.63,34759.15,Région,Léon Grosse,4.95,3.55,12555.95,Alice Martin,Accord-cadre,Moyenne,Élevé
69,437,Éclairage LED,2025-03-13,,2025-06-19,In Progress,426354.43,291722.95,-31.58,62513.93,Région,Bouygues Bâtiment,4.09,,,Jean Dupont,Marché négocié,Critique,Faible
70,44,Rénovation de toiture,2025-11-21,,2026-03-05,Planned,283298.64,,,16761.96,Union européenne,VINCI Facilities,10.31,,,Jean Dupont,Accord-cadre,Moyenne,Moyen
71,399,Ventilation double flux,2019-08-04,2020-03-12,2020-02-29,Completed,153962.07,150251.06,-2.41,82064.19,Département,VINCI Facilities,17.44,11.77,15805.46,Emma Robert,MAPA,Critique,Moyen
72,80,Ventilation double flux,2015-05-01,2015-12-02,2015-11-15,Completed,759335.55,750161.03,-1.21,393359.79,ADEME,Groupe Martin,12.9,19.81,,Sophie Bernard,Marché négocié,Basse,Faible
73,301,Isolation thermique,2025-05-24,,2025-09-13,In Progress,2291620.86,1383075.13,-39.65,84091.94,Union européenne,Léon Grosse,15.3,,,Alice Martin,Accord-cadre,Moyenne,Élevé
74,76,Éclairage LED,2022-09-22,2023-04-22,2023-05-09,Completed,145667.26,163885.43,12.51,26972.29,Région,Bouygues Bâtiment,10.22,4.29,,Sophie Bernard,MAPA,Basse,Faible
75,257,Rénovation de toiture,2015-07-21,2015-09-23,2015-09-25,Completed,493231.2,549882.69,11.49,82136.32,ADEME,Eiffage Énergie,13.56,8.85,74778.56,Sophie Bernard,Accord-cadre,Haute,Faible
76,219,Rénovation de toiture,2017-04-25,2017-12-19,2017-12-20,Completed,1658330.43,1508803.95,-9.02,470095.51,Fonds vert,Bouygues Bâtiment,14.44,5.52,19169.7,Nicolas Leroy,Appel d'offres ouvert,Moyenne,Faible
77,347,Installation photovoltaïque,2018-02-01,2018-04-26,2018-05-14,Completed,1075780.49,1045182.03,-2.84,237322.94,Autofinancement,Léon Grosse,10.55,9.81,,Emma Robert,Marché négocié,Haute,Moyen
78,401,Rénovation de toiture,2015-08-17,2016-04-23,2016-03-05,Completed,192545.48,217614.29,13.02,3579.76,Autofinancement,Engie Solutions,11.28,11.14,53694.35,Emma Robert,MAPA,Moyenne,Faible
79,398,Ventilation double flux,2016-01-02,2016-05-07,2016-03-19,Completed,824034.09,751007.18,-8.86,366633.82,Département,Léon Grosse,17.79,8.1,61346.68,Emma Robert,Accord-cadre,Basse,Faible
80,381,Isolation thermique,2023-02-04,2023-09-03,2023-07-20,Completed,1331130.96,1405882.29,5.62,375663.27,Région,SPIE Building Solutions,20.25,23.55,29776.36,Emma Robert,Accord-cadre,Moyenne,Faible
81,228,Éclairage LED,2023-10-12,2024-02-10,2024-02-22,Completed,945960.4,1014552.45,7.25,455102.71,ADEME,Bouygues Bâtiment,10.89,3.86,80552.66,Karim Diallo,Appel d'offres ouvert,Moyenne,Élevé
82,227,Rénovation de toiture,2018-06-11,2019-01-04,2018-11-30,Completed,534196.42,606837.3,13.6,227936.47,Département,Bouygues Bâtiment,15.95,5.84,16010.12,Emma Robert,Marché négocié,Moyenne,Élevé
83,327,Remplacement du chauffage,2021-03-11,2021-07-10,2021-07-14,Completed,1975522.02,2196480.51,11.18,1004282.65,Union européenne,Groupe Martin,25.47,20.72,233178.52,Emma Robert,Accord-cadre,Basse,Faible
84,246,Isolation thermique,2021-02-01,2021-03-29,2021-04-13,Completed,824190.57,811997.46,-1.48,243267.75,Département,Engie Solutions,22.66,22.93,84401.95,Karim Diallo,MAPA,Haute,Faible
85,189,Rénovation de toiture,2025-07-04,,2025-11-25,Planned,116601.65,,,4196.21,ADEME,VINCI Facilities,14.17,,,Sophie Bernard,Marché négocié,Moyenne,Moyen
86,370,Remplacement du chauffage,2020-08-19,2021-03-02,2021-01-12,Completed,153637.0,164924.75,7.35,27685.49,Département,Engie Solutions,28.21,19.06,28660.95,Karim Diallo,MAPA,Critique,Faible
87,381,Remplacement du chauffage,2025-04-14,2025-07-17,2025-07-26,Completed,1708278.39,1850263.49,8.31,988001.02,Union européenne,Groupe Martin,21.21,11.71,14806.0,Sophie Bernard,MAPA,Haute,Élevé
88,199,Isolation thermique,2017-11-18,2018-04-11,2018-02-24,Completed,427804.8,411699.11,-3.76,205175.73,Union européenne,Eiffage Énergie,26.55,30.04,73623.22,Sophie Bernard,Appel d'offres ouvert,Moyenne,Faible
89,148,Ventilation double flux,2023-10-08,2024-02-06,2024-01-27,Completed,1455365.34,1549653.35,6.48,469760.55,ADEME,Bouygues Bâtiment,14.54,16.18,322615.48,Jean Dupont,Accord-cadre,Basse,Moyen
90,301,Remplacement du chauffage,2025-03-11,2025-04-18,2025-11-15,Cancelled,1986348.21,128289.54,-93.54,24119.39,Région,SPIE Building Solutions,30.88,,,Emma Robert,Appel d'offres ouvert,Haute,Élevé
91,137,Remplacement du chauffage,2022-03-19,2022-07-16,2022-07-04,Completed,1496664.11,1541676.07,3.01,617057.82,Région,SPIE Building Solutions,28.23,17.4,214935.72,Karim Diallo,Accord-cadre,Moyenne,Moyen
92,48,Remplacement des menuiseries,2016-06-01,2017-02-16,2017-02-11,Completed,1548386.63,1439415.76,-7.04,437971.52,Département,VINCI Facilities,11.52,19.05,385454.17,Karim Diallo,Accord-cadre,Moyenne,Moyen
93,338,Remplacement des menuiseries,2019-07-12,2019-11-23,2019-12-11,Completed,605764.61,600245.61,-0.91,83115.37,Région,Engie Solutions,13.56,14.2,29304.01,Emma Robert,Accord-cadre,Critique,Élevé
94,110,Isolation thermique,2015-04-24,2015-07-09,2015-06-19,Completed,2890355.18,2798301.25,-3.18,119609.8,ADEME,Engie Solutions,14.91,35.64,,Alice Martin,Accord-cadre,Moyenne,Faible
95,334,Remplacement des menuiseries,2021-06-23,2022-02-26,2022-02-10,Completed,107541.38,120218.26,11.79,46099.65,Union européenne,Eiffage Énergie,12.21,17.24,9822.63,Alice Martin,MAPA,Basse,Faible
96,303,Éclairage LED,2016-05-10,2016-06-22,2016-06-25,Completed,887047.15,829415.07,-6.5,445281.85,Département,Groupe Martin,10.56,7.12,94399.59,Emma Robert,Accord-cadre,Moyenne,Moyen
97,122,Ventilation double flux,2024-10-23,2025-08-29,2025-07-08,Completed,368080.26,384125.48,4.36,185459.69,Union européenne,Groupe Martin,19.92,13.92,43774.52,Nicolas Leroy,Accord-cadre,Moyenne,Moyen
98,94,Éclairage LED,2019-07-05,2019-12-09,2019-11-24,Completed,538112.05,512652.58,-4.73,235273.46,Fonds vert,SPIE Building Solutions,4.82,9.1,27552.6,Karim Diallo,MAPA,Moyenne,Faible
99,28,Remplacement du chauffage,2024-07-06,2025-05-06,2025-03-22,Completed,872919.3,844523.52,-3.25,126446.54,Département,Eiffage Énergie,15.59,18.37,140720.74,Sophie Bernard,Marché négocié,Basse,Élevé
100,375,Rénovation de toiture,2023-11-19,2024-06-28,2024-06-06,Completed,826432.9,874810.38,5.85,348784.35,Union européenne,Entreprise Durand,14.04,9.78,70757.85,Karim Diallo,Accord-cadre,Moyenne,Moyen
101,477,Isolation thermique,2023-07-18,2024-04-05,2024-02-12,Completed,2064250.7,1914503.14,-7.25,572525.13,Département,Eiffage Énergie,31.44,35.09,468505.23,Nicolas Leroy,Appel d'offres ouvert,Haute,Faible
102,104,Éclairage LED,2022-07-10,2023-02-02,2022-12-27,Completed,933731.29,874028.69,-6.39,78610.93,Autofinancement,VINCI Facilities,4.35,9.97,88846.39,Nicolas Leroy,MAPA,Basse,Faible
103,451,Isolation thermique,2024-06-19,2024-12-10,2024-12-22,Completed,934724.05,975085.04,4.32,185992.35,Union européenne,SPIE Building Solutions,25.07,31.06,143520.09,Emma Robert,Appel d'offres ouvert,Haute,Élevé
104,405,Remplacement du chauffage,2025-07-09,,2025-12-28,Planned,1110841.27,,,571545.5,ADEME,Groupe Martin,28.7,,,Nicolas Leroy,Marché négocié,Haute,Faible
105,498,Isolation thermique,2019-04-04,2019-06-04,2019-05-28,Completed,1029457.35,967496.13,-6.02,506502.09,ADEME,Groupe Martin,24.59,26.8,182878.45,Jean Dupont,MAPA,Basse,Élevé
106,15,Installation photovoltaïque,2020-03-20,2020-11-30,2020-11-08,Completed,1267578.39,1366233.25,7.78,157987.63,Autofinancement,Bouygues Bâtiment,10.75,8.87,9371.21,Alice Martin,MAPA,Moyenne,Moyen
107,61,Remplacement du chauffage,2022-08-03,2023-02-12,2023-02-09,Completed,142249.02,161474.05,13.52,14904.88,Région,Groupe Martin,26.78,16.65,4259.19,Emma Robert,Appel d'offres ouvert,Haute,Élevé
108,212,Remplacement du chauffage,2018-03-06,2018-07-20,2018-07-09,Completed,1418949.67,1568930.83,10.57,164918.02,Autofinancement,Engie Solutions,28.34,17.04,99226.87,Alice Martin,Marché négocié,Critique,Élevé
109,190,Éclairage LED,2019-11-10,2020-03-03,2020-03-20,Completed,828700.4,774512.49,-6.54,297772.6,Union européenne,VINCI Facilities,8.91,9.69,65055.93,Emma Robert,Appel d'offres ouvert,Basse,Moyen
110,418,Rénovation de toiture,2019-09-12,2019-11-17,2019-12-01,Completed,402106.81,392139.74,-2.48,183522.8,Région,Bouygues Bâtiment,14.68,18.98,148989.89,Nicolas Leroy,MAPA,Haute,Faible
111,471,Remplacement des menuiseries,2020-03-22,2020-11-29,2020-12-01,Completed,263614.78,282904.94,7.32,98077.42,ADEME,SPIE Building Solutions,18.51,16.55,121718.7,Sophie Bernard,Appel d'offres ouvert,Haute,Élevé
112,165,Isolation thermique,2015-02-24,2015-08-08,2015-07-29,Completed,924819.24,967331.36,4.6,506737.03,Autofinancement,Eiffage Énergie,28.06,26.14,,Nicolas Leroy,Appel d'offres ouvert,Moyenne,Élevé
113,445,Rénovation de toiture,2016-06-17,2016-10-04,2016-08-12,Completed,452012.98,490098.88,8.43,162435.65,Fonds vert,Eiffage Énergie,17.52,11.95,45608.49,Alice Martin,Accord-cadre,Haute,Élevé
114,341,Remplacement des menuiseries,2025-07-03,2026-04-10,2026-03-18,Completed,481471.92,461033.1,-4.25,253514.5,Union européenne,Entreprise Durand,14.8,15.68,14280.06,Emma Robert,Appel d'offres ouvert,Basse,Moyen
115,284,Remplacement du chauffage,2025-08-23,,2026-05-11,Planned,713305.16,,,290263.0,Fonds vert,Entreprise Durand,26.0,,,Alice Martin,Marché négocié,Moyenne,Moyen
116,184,Installation photovoltaïque,2020-02-04,2020-12-09,2020-11-10,Completed,426530.6,486071.49,13.96,34431.15,Département,VINCI Facilities,9.41,8.02,3467.66,Sophie Bernard,Appel d'offres ouvert,Basse,Faible
117,76,Remplacement du chauffage,2025-05-12,,2025-08-04,Planned,310152.22,,,84340.6,Union européenne,SPIE Building Solutions,16.9,,,Alice Martin,Accord-cadre,Moyenne,Moyen
118,284,Installation photovoltaïque,2025-06-05,,2026-02-16,In Progress,1211758.84,443551.12,-63.4,143059.96,Région,Engie Solutions,15.9,,,Karim Diallo,Marché négocié,Haute,Élevé
119,253,Rénovation de toiture,2024-07-08,2025-02-15,2025-02-13,Completed,680176.0,759210.68,11.62,318538.94,Union européenne,Eiffage Énergie,6.99,13.56,51839.66,Jean Dupont,Accord-cadre,Moyenne,Élevé
120,491,Remplacement des menuiseries,2015-03-23,2015-04-08,2015-07-06,Cancelled,903150.76,30521.89,-96.62,8247.65,ADEME,Bouygues Bâtiment,7.53,,,Jean Dupont,Accord-cadre,Moyenne,Moyen
121,369,Remplacement du chauffage,2022-04-03,2022-11-06,2022-10-25,Completed,450306.58,452758.34,0.54,169681.47,ADEME,VINCI Facilities,17.78,15.62,,Karim Diallo,Marché négocié,Moyenne,Élevé
122,490,Rénovation de toiture,2021-06-10,2021-11-26,2021-10-27,Completed,383339.97,413609.87,7.9,126834.92,Autofinancement,Léon Grosse,14.04,10.71,,Emma Robert,Marché négocié,Basse,Faible
123,291,Remplacement des menuiseries,2016-09-04,2017-06-13,2017-06-04,Completed,2444874.88,2480784.1,1.47,1357045.82,Autofinancement,SPIE Building Solutions,8.02,14.09,247129.55,Emma Robert,Appel d'offres ouvert,Haute,Élevé
124,69,Isolation thermique,2018-09-17,2019-03-17,2019-04-02,Completed,776783.83,813741.34,4.76,371161.09,Région,VINCI Facilities,27.25,38.4,459348.74,Nicolas Leroy,Marché négocié,Haute,Élevé
