building_id,building_name,building_type,address,city,postal_code,construction_year,surface_m2,number_of_floors,heating_type,annual_energy_consumption_kwh,energy_intensity_kwh_m2_year,dpe_rating,co2_emissions_kg_year,insulation_quality,occupancy_rate,number_of_occupants,has_solar_panels,last_energy_audit_year,accessibility_status,asbestos_risk,heritage_status,latitude,longitude
37,Gymnase municipale 037,Gymnase,117 rue Pasteur,Nantes,44000,1997,6727.46,5,Gaz,803796.92,119.48,C,160759.38,Très bonne,0.5667,508,False,2020,Partiellement conforme,False,Non protégé,47.237407,-1.537096
38,Gymnase municipale 038,Gymnase,100 rue de la République,Lyon,69000,1934,6978.41,7,Gaz,2450538.46,351.16,,490107.69,Faible,0.593,551,False,2024,Conforme,False,Classé,45.793493,4.79952
39,École municipale 039,École,143 rue des Écoles,Dijon,21000,1996,2627.18,2,Fioul,511906.02,194.85,E,138214.63,Moyenne,0.8036,469,False,2022,Partiellement conforme,False,Non protégé,47.352979,5.063801
40,Mairie municipale 040,Mairie,149 rue Jean Jaurès,Montpellier,34000,1996,2324.04,2,Fioul,482563.67,207.64,C,130292.19,Moyenne,0.6711,410,False,2017,Conforme,False,Non protégé,43.573907,3.841091
41,EHPAD municipale 041,EHPAD,137 rue Victor Hugo,Nantes,44000,1932,4839.12,5,Électrique,1397392.68,288.77,G,83843.56,Faible,1.0,2199,False,2021,Partiellement conforme,False,Inscrit,47.193939,-1.518259
42,Crèche municipale 042,Crèche,174 rue Victor Hugo,Bordeaux,33000,1918,1101.94,1,Gaz,327210.06,296.94,F,65442.01,Faible,0.7784,107,False,2017,Conforme,False,Non protégé,44.856396,-0.542658
43,Mairie municipale 043,Mairie,217 rue Victor Hugo,Bordeaux,33000,1924,2422.89,2,Gaz,736510.1,303.98,F,147302.02,Faible,0.5062,322,False,2024,Partiellement conforme,False,Non protégé,44.859679,-0.550775
44,Crèche municipale 044,Crèche,16 rue Victor Hugo,Strasbourg,67000,1990,1042.15,1,Réseau urbain,104016.99,99.81,,10401.7,Moyenne,0.8856,115,False,2022,Conforme,False,Non protégé,48.567647,7.780631
45,École municipale 045,École,11 rue Victor Hugo,Paris,75000,1911,1418.15,1,Gaz,438265.08,309.04,G,87653.02,Faible,0.7835,246,False,2017,Travaux requis,False,Non protégé,48.823513,2.333017
46,Mairie municipale 046,Mairie,64 rue Jean Jaurès,Nantes,44000,1987,3253.69,3,Réseau urbain,533930.53,164.1,F,53393.05,Moyenne,0.5958,510,False,2019,Partiellement conforme,False,Non protégé,47.207725,-1.531658
47,EHPAD municipale 047,EHPAD,146 rue Victor Hugo,Montpellier,34000,1924,7607.48,7,Gaz,2126290.66,279.5,G,425258.13,Faible,0.7937,2744,False,2024,Travaux requis,False,Non protégé,43.659746,3.897362
48,Gymnase municipale 048,Gymnase,184 rue Jean Jaurès,Rennes,35000,1905,5440.66,5,Électrique,2023381.45,371.9,F,121402.89,Faible,0.4871,353,False,2020,Partiellement conforme,False,Inscrit,48.155686,-1.629661
49,Bibliothèque municipale 049,Bibliothèque,18 rue de la République,Nantes,44000,1995,2183.35,2,Réseau urbain,222003.03,101.68,D,22200.3,Moyenne,0.8784,383,False,2024,Conforme,True,Non protégé,47.258854,-1.575808
50,Bibliothèque municipale 050,Bibliothèque,14 rue Jean Jaurès,Bordeaux,33000,1983,3622.0,2,Électrique,755368.1,208.55,D,45322.09,Moyenne,0.7821,566,False,2019,Partiellement conforme,True,Non protégé,44.880546,-0.614796
51,Crèche municipale 051,Crèche,42 rue Victor Hugo,Rennes,35000,2001,1268.09,1,Électrique,92329.63,72.81,C,5539.78,Bonne,0.6649,105,False,2024,Conforme,False,Non protégé,48.128462,-1.665278
52,Crèche municipale 052,Crèche,196 rue des Écoles,Lyon,69000,1900,1324.98,1,Gaz,396619.51,299.34,G,79323.9,Moyenne,0.7191,119,False,2022,Conforme,False,Non protégé,45.732555,4.841898
53,Gymnase municipale 053,Gymnase,143 rue Victor Hugo,Rennes,35000,1971,5573.51,3,Pompe à chaleur,1054675.3,189.23,,42187.01,Faible,0.6947,516,False,2022,Conforme,False,Non protégé,48.071261,-1.650627
54,Gymnase municipale 054,Gymnase,187 rue de la République,Grenoble,38000,1990,4035.67,3,Électrique,383025.44,94.91,E,22981.53,Très bonne,0.6127,329,False,2018,Travaux requis,True,Non protégé,45.15152,5.766082
55,École municipale 055,École,130 rue de la République,Rennes,35000,2015,3977.85,2,Réseau urbain,154937.26,38.95,B,15493.73,Très bonne,0.6848,605,True,2022,Conforme,False,Non protégé,48.162954,-1.708666
56,École municipale 056,École,171 rue des Écoles,Toulouse,31000,2000,1395.88,1,Gaz,216487.03,155.09,C,43297.41,Moyenne,0.8737,271,False,2024,Conforme,False,Non protégé,43.616999,1.442983
57,Gymnase municipale 057,Gymnase,215 rue de la République,Marseille,13000,1914,6246.7,4,Biomasse,,,F,,Faible,0.5338,444,False,,Travaux requis,False,Non protégé,43.273481,5.39495
58,École municipale 058,École,92 rue Victor Hugo,Marseille,13000,1999,5955.27,4,Gaz,1006738.39,169.05,D,201347.68,Moyenne,0.7097,939,False,2017,Partiellement conforme,False,Non protégé,43.31111,5.361282
59,EHPAD municipale 059,EHPAD,145 rue de la République,Rennes,35000,1945,2156.95,2,Réseau urbain,354947.69,164.56,F,35494.77,Très bonne,1.0,980,False,2016,Conforme,False,Non protégé,48.08198,-1.653732
60,Bibliothèque municipale 060,Bibliothèque,143 rue de la République,Lille,59000,1916,2769.16,3,Électrique,938689.86,338.98,G,56321.39,Faible,0.7067,391,False,2024,Partiellement conforme,False,Non protégé,50.602055,3.084547
61,Crèche municipale 061,Crèche,67 rue de la République,Paris,75000,2002,633.5,1,Pompe à chaleur,25580.73,40.38,,1023.23,Très bonne,0.8775,69,False,2021,Conforme,False,Non protégé,48.872614,2.388395
62,EHPAD municipale 062,EHPAD,188 rue Pasteur,Nantes,44000,1935,4469.55,3,Réseau urbain,1489164.67,333.18,G,148916.47,Faible,0.9278,1884,False,2015,Conforme,True,Inscrit,47.180605,-1.583965
63,Mairie municipale 063,Mairie,128 rue de la République,Lyon,69000,1926,2611.81,2,Réseau urbain,647284.87,247.83,F,64728.49,Faible,0.7161,492,True,2023,Partiellement conforme,False,Non protégé,45.79693,4.827569
64,École municipale 064,École,25 rue des Écoles,Rennes,35000,1916,1777.29,1,Pompe à chaleur,,,F,,Faible,0.8639,341,False,,Partiellement conforme,True,Classé,48.097187,-1.648924
65,Bibliothèque municipale 065,Bibliothèque,196 rue des Écoles,Rennes,35000,1976,1491.66,1,Réseau urbain,140499.46,94.19,F,14049.95,Très bonne,0.6396,190,False,2021,Conforme,True,Non protégé,48.09037,-1.642296
66,École municipale 066,École,159 rue des Écoles,Rennes,35000,1949,3055.62,2,Électrique,653169.33,213.76,F,39190.16,Faible,0.7854,533,False,2015,Conforme,False,Non protégé,48.078785,-1.718371
67,École municipale 067,École,117 rue Jean Jaurès,Montpellier,34000,1956,4118.81,3,Pompe à chaleur,,,G,,Faible,0.706,646,False,,Conforme,False,Non protégé,43.657683,3.86788
68,Bibliothèque municipale 068,Bibliothèque,158 rue de la République,Lyon,69000,1936,992.18,1,Réseau urbain,161338.39,162.61,,16133.84,Très bonne,0.7115,141,False,2016,Conforme,False,Non protégé,45.756756,4.857959
69,Bibliothèque municipale 069,Bibliothèque,218 rue Pasteur,Toulouse,31000,1910,4004.22,2,Gaz,1196220.68,298.74,G,239244.14,Faible,0.7511,601,True,2018,Conforme,False,Inscrit,43.584689,1.44537
70,Gymnase municipale 070,Gymnase,194 rue des Écoles,Montpellier,34000,1912,5536.64,6,Gaz,1551920.19,280.3,F,310384.04,Faible,0.5103,376,False,2023,Partiellement conforme,False,Non protégé,43.637221,3.876225
71,Crèche municipale 071,Crèche,117 rue de la République,Lyon,69000,2015,981.1,1,Gaz,57472.84,58.58,B,11494.57,Très bonne,0.8362,102,False,2016,Travaux requis,False,Non protégé,45.736892,4.804873
72,Crèche municipale 072,Crèche,209 rue des Écoles,Lille,59000,1951,620.88,1,Gaz,,,E,,Faible,0.8109,62,False,,Conforme,False,Non protégé,50.656636,3.083582
73,EHPAD municipale 073,EHPAD,14 rue Jean Jaurès,Rennes,35000,1957,2400.43,2,Réseau urbain,,,F,,Faible,0.9878,1077,False,,Partiellement conforme,False,Non protégé,48.12226,-1.710136
74,Gymnase municipale 074,Gymnase,11 rue des Écoles,Lyon,69000,1911,3156.81,3,Réseau urbain,941202.9,298.15,G,94120.29,Faible,0.5512,232,False,2021,Conforme,False,Non protégé,45.775901,4.813936
75,Mairie municipale 075,Mairie,74 rue des Écoles,Lille,59000,1994,2904.87,3,Réseau urbain,267218.99,91.99,E,26721.9,Moyenne,0.72,550,False,2021,Conforme,False,Non protégé,50.587032,3.074053
76,Mairie municipale 076,Mairie,16 rue Victor Hugo,Bordeaux,33000,1936,1009.66,1,Pompe à chaleur,,,F,,Faible,0.7578,201,False,,Conforme,False,Non protégé,44.859722,-0.551926
77,Mairie municipale 077,Mairie,177 rue Victor Hugo,Marseille,13000,1946,2806.31,2,Électrique,879946.56,313.56,G,52796.79,Moyenne,0.6093,449,False,2015,Conforme,False,Non protégé,43.247043,5.355921
78,Gymnase municipale 078,Gymnase,92 rue Victor Hugo,Toulouse,31000,1936,2744.6,3,Biomasse,751800.83,273.92,,22554.02,Faible,0.5682,207,False,2025,Conforme,False,Non protégé,43.653915,1.460983
79,École municipale 079,École,50 rue Victor Hugo,Grenoble,38000,2006,944.77,1,Fioul,91406.5,96.75,D,24679.76,Bonne,0.9034,189,False,2019,Partiellement conforme,False,Non protégé,45.234022,5.762468
80,École municipale 080,École,71 rue Jean Jaurès,Dijon,21000,1935,3482.3,3,Fioul,,,G,,Faible,0.7086,548,False,,Conforme,False,Non protégé,47.3713,5.090927
81,Mairie municipale 081,Mairie,101 rue Jean Jaurès,Toulouse,31000,1938,3214.06,2,Électrique,578402.24,179.96,F,34704.13,Très bonne,0.6599,558,False,2017,Conforme,False,Non protégé,43.591289,1.410869
82,Bibliothèque municipale 082,Bibliothèque,217 rue Victor Hugo,Bordeaux,33000,2002,3845.16,4,Pompe à chaleur,246205.59,64.03,D,9848.22,Bonne,0.7277,559,False,2016,Conforme,False,Non protégé,44.82053,-0.587474
83,École municipale 083,École,152 rue Jean Jaurès,Dijon,21000,1935,1098.1,1,Gaz,430916.4,392.42,F,86183.28,Faible,0.6632,161,True,2024,Partiellement conforme,False,Classé,47.349189,5.023386
84,Crèche municipale 084,Crèche,12 rue Pasteur,Lyon,69000,2003,1574.9,2,Gaz,147442.14,93.62,,29488.43,Bonne,0.7374,145,False,2017,Partiellement conforme,False,Non protégé,45.781936,4.878226
85,EHPAD municipale 085,EHPAD,83 rue Jean Jaurès,Grenoble,38000,1942,7456.49,5,Gaz,3096307.47,415.25,F,619261.49,Faible,1.0,3389,False,2017,Conforme,False,Inscrit,45.16715,5.750776
86,École municipale 086,École,216 rue Jean Jaurès,Lyon,69000,1958,3133.09,2,Électrique,914517.64,291.89,G,54871.06,Faible,0.786,547,False,2018,Conforme,False,Non protégé,45.775241,4.80677
87,Crèche municipale 087,Crèche,59 rue Jean Jaurès,Toulouse,31000,2005,1450.99,1,Gaz,101961.07,70.27,C,20392.21,Bonne,0.9075,164,False,2021,Conforme,False,Non protégé,43.638976,1.450468
88,Bibliothèque municipale 088,Bibliothèque,40 rue des Écoles,Lyon,69000,1954,2740.64,2,Réseau urbain,744851.14,271.78,F,74485.11,Faible,0.6536,358,False,2021,Travaux requis,False,Non protégé,45.791691,4.787241
89,Mairie municipale 089,Mairie,2 rue Pasteur,Dijon,21000,1960,1184.44,1,Biomasse,298952.66,252.4,F,8968.58,Faible,0.8599,268,False,2022,Conforme,False,Non protégé,47.328787,5.000736
90,Gymnase municipale 090,Gymnase,51 rue de la République,Strasbourg,67000,1940,5063.82,6,Électrique,1612674.76,318.47,F,96760.49,Faible,0.4737,319,False,2016,Conforme,False,Non protégé,48.615237,7.740157
91,École municipale 091,École,85 rue Pasteur,Toulouse,31000,1996,2560.58,2,Pompe à chaleur,246430.22,96.24,E,9857.21,Moyenne,0.7561,430,False,2021,Partiellement conforme,False,Non protégé,43.6172,1.399421
92,EHPAD municipale 092,EHPAD,62 rue Pasteur,Marseille,13000,1980,2476.5,2,Pompe à chaleur,316620.52,127.85,F,12664.82,Moyenne,0.947,1066,False,2023,Conforme,False,Non protégé,43.298,5.336703
93,Crèche municipale 093,Crèche,26 rue de la République,Grenoble,38000,1927,1496.4,1,Gaz,264952.58,177.06,F,52990.52,Bonne,0.8017,149,True,2019,Partiellement conforme,True,Non protégé,45.172582,5.695813
94,Mairie municipale 094,Mairie,122 rue Victor Hugo,Dijon,21000,1989,3266.19,3,Pompe à chaleur,302775.81,92.7,,12111.03,Moyenne,0.6008,516,False,2020,Partiellement conforme,False,Non protégé,47.304376,5.007186
95,Gymnase municipale 095,Gymnase,8 rue des Écoles,Marseille,13000,1963,4257.26,3,Gaz,1393912.07,327.42,F,278782.41,Faible,0.5925,336,False,2016,Conforme,True,Non protégé,43.341767,5.347292
96,Gymnase municipale 096,Gymnase,18 rue Jean Jaurès,Toulouse,31000,1974,5918.14,4,Électrique,1578841.39,266.78,F,94730.48,Faible,0.5656,446,False,2024,Partiellement conforme,False,Non protégé,43.651926,1.449029
97,EHPAD municipale 097,EHPAD,195 rue des Écoles,Nantes,44000,1925,1868.62,2,Gaz,548888.44,293.74,G,109777.69,Faible,1.0,849,False,2024,Conforme,False,Non protégé,47.210946,-1.576424
98,Bibliothèque municipale 098,Bibliothèque,97 rue des Écoles,Dijon,21000,1955,4406.95,3,Pompe à chaleur,430074.25,97.59,F,17202.97,Très bonne,0.7474,658,False,2021,Partiellement conforme,False,Non protégé,47.331892,5.028367
99,Mairie municipale 099,Mairie,3 rue de la République,Marseille,13000,2001,956.93,1,Électrique,49119.22,51.33,D,2947.15,Très bonne,0.6748,169,False,2022,Travaux requis,False,Non protégé,43.268286,5.32322
100,Bibliothèque municipale 100,Bibliothèque,69 rue Pasteur,Toulouse,31000,1904,2675.36,3,Gaz,,,F,,Bonne,0.7376,394,False,,Conforme,False,Non protégé,43.556692,1.424932
101,École municipale 101,École,220 rue des Écoles,Dijon,21000,2011,2694.09,3,Électrique,230479.4,85.55,C,13828.76,Faible,0.5875,351,True,2019,Travaux requis,False,Non protégé,47.305019,5.027789
102,École municipale 102,École,11 rue Jean Jaurès,Toulouse,31000,1997,5149.6,4,Gaz,935939.8,181.75,E,187187.96,Faible,0.486,556,False,2022,Partiellement conforme,False,Non protégé,43.566139,1.43743
103,Mairie municipale 103,Mairie,53 rue des Écoles,Lille,59000,1999,3027.22,2,Gaz,330178.89,109.07,C,66035.78,Bonne,0.7016,558,False,2018,Conforme,False,Non protégé,50.579661,3.022473
104,EHPAD municipale 104,EHPAD,157 rue Victor Hugo,Marseille,13000,1971,8539.07,6,Pompe à chaleur,891137.35,104.36,F,35645.49,Bonne,0.8216,3188,False,2025,Conforme,False,Non protégé,43.308564,5.329085
105,EHPAD municipale 105,EHPAD,85 rue des Écoles,Marseille,13000,1983,5376.89,3,Réseau urbain,857613.96,159.5,,85761.4,Moyenne,0.988,2414,True,2016,Conforme,False,Non protégé,43.28843,5.332739
106,EHPAD municipale 106,EHPAD,26 rue Pasteur,Toulouse,31000,1911,3563.76,4,Gaz,1324542.68,371.67,F,264908.54,Faible,1.0,1619,False,2019,Travaux requis,True,Classé,43.594424,1.493167
107,École municipale 107,École,96 rue Jean Jaurès,Lille,59000,1931,1520.49,1,Réseau urbain,436639.11,287.17,F,43663.91,Faible,0.5279,178,False,2023,Conforme,False,Inscrit,50.641221,3.046052
108,Crèche municipale 108,Crèche,150 rue des Écoles,Nantes,44000,1933,852.23,1,Fioul,,,,,Faible,0.9987,106,False,,Conforme,False,Non protégé,47.185349,-1.577984
109,EHPAD municipale 109,EHPAD,17 rue Victor Hugo,Rennes,35000,1947,2064.8,2,Fioul,1023397.47,495.64,F,276317.32,Faible,0.8665,813,False,2018,Travaux requis,True,Non protégé,48.074048,-1.692193
110,EHPAD municipale 110,EHPAD,20 rue Victor Hugo,Marseille,13000,1944,5889.03,4,Électrique,,,F,,Faible,1.0,2676,False,,Conforme,True,Non protégé,43.295624,5.407284
111,École municipale 111,École,59 rue de la République,Toulouse,31000,1950,2985.5,2,Gaz,791724.74,265.19,G,158344.95,Faible,0.6638,440,False,2017,Travaux requis,False,Non protégé,43.644574,1.460179
112,EHPAD municipale 112,EHPAD,179 rue de la République,Montpellier,34000,1963,3233.9,2,Fioul,1195249.44,369.6,G,322717.35,Faible,0.8093,1189,False,2019,Conforme,False,Non protégé,43.599074,3.827294
113,Bibliothèque municipale 113,Bibliothèque,98 rue Jean Jaurès,Nantes,44000,1946,4240.94,4,Électrique,1326566.03,312.8,G,79593.96,Faible,0.5927,502,False,2022,Partiellement conforme,True,Non protégé,47.235398,-1.525404
114,EHPAD municipale 114,EHPAD,133 rue Victor Hugo,Paris,75000,1924,5703.81,3,Électrique,1747134.04,306.31,F,104828.04,Faible,1.0,2592,False,2016,Conforme,True,Non protégé,48.852145,2.389488
115,Mairie municipale 115,Mairie,30 rue des Écoles,Toulouse,31000,1900,2684.65,2,Réseau urbain,643322.68,239.63,G,64332.27,Faible,0.6067,428,False,2015,Conforme,True,Non protégé,43.614992,1.445061
116,École municipale 116,École,188 rue Pasteur,Grenoble,38000,1903,5380.53,6,Électrique,,,G,,Faible,0.6694,800,False,,Conforme,False,Classé,45.171725,5.763168
117,Bibliothèque municipale 117,Bibliothèque,30 rue de la République,Lyon,69000,1991,2300.38,2,Électrique,276643.7,120.26,E,16598.62,Moyenne,0.8344,383,False,2022,Conforme,False,Non protégé,45.806462,4.871225
118,École municipale 118,École,32 rue Pasteur,Rennes,35000,2005,5525.62,5,Pompe à chaleur,213841.49,38.7,,8553.66,Bonne,0.7665,941,True,2017,Conforme,False,Non protégé,48.086088,-1.649583
119,Bibliothèque municipale 119,Bibliothèque,59 rue des Écoles,Grenoble,38000,1962,3555.65,4,Pompe à chaleur,590593.46,166.1,G,23623.74,Faible,0.7515,534,True,2019,Travaux requis,False,Non protégé,45.238004,5.733555
120,Bibliothèque municipale 120,Bibliothèque,161 rue Pasteur,Bordeaux,33000,2013,2978.34,2,Fioul,111866.45,37.56,A,30203.94,Très bonne,0.7603,452,False,2022,Partiellement conforme,False,Non protégé,44.834428,-0.618436
121,Bibliothèque municipale 121,Bibliothèque,40 rue Pasteur,Lille,59000,1938,1709.84,1,Pompe à chaleur,399828.99,233.84,G,15993.16,Faible,0.7726,264,False,2017,Conforme,False,Non protégé,50.606229,3.092883
122,École municipale 122,École,156 rue de la République,Bordeaux,33000,2000,2331.15,2,Gaz,314472.14,134.9,C,62894.43,Moyenne,0.6664,345,False,2018,Conforme,False,Non protégé,44.856203,-0.529615
123,École municipale 123,École,100 rue Victor Hugo,Marseille,13000,1984,2906.72,2,Gaz,470220.09,161.77,,94044.02,Moyenne,0.8125,524,False,2022,Partiellement conforme,False,Non protégé,43.294163,5.41894
124,EHPAD municipale 124,EHPAD,153 rue de la République,Toulouse,31000,1910,2223.52,2,Réseau urbain,576269.68,259.17,F,57626.97,Faible,0.9263,936,False,2021,Conforme,False,Non protégé,43.600351,1.459808
125,École municipale 125,École,80 rue Pasteur,Nantes,44000,2008,5231.08,3,Pompe à chaleur,242617.49,46.38,B,9704.7,Bonne,0.6067,705,False,2023,Conforme,False,Non protégé,47.23467,-1.570232
126,Gymnase municipale 126,Gymnase,196 rue de la République,Grenoble,38000,2018,4121.54,3,Gaz,144253.9,35,B,28850.78,Très bonne,0.5881,323,False,2023,Conforme,False,Non protégé,45.175921,5.762667
127,Gymnase municipale 127,Gymnase,61 rue Pasteur,Rennes,35000,1948,1623.81,1,Réseau urbain,,,G,,Faible,0.5333,115,False,,Partiellement conforme,False,Non protégé,48.097097,-1.657704
